EUROSYS_ITEM,Item,Time,Value
A54,Structural reverse operations,1999-08-27,0
A54,Structural reverse operations,1999-09-03,0
A54,Structural reverse operations,1999-09-10,0
A54,Structural reverse operations,1999-09-17,0
A54,Structural reverse operations,1999-09-24,0
A54,Structural reverse operations,1999-10-01,0
A54,Structural reverse operations,1999-10-08,0
A54,Structural reverse operations,1999-10-15,0
A54,Structural reverse operations,1999-10-22,0
A54,Structural reverse operations,1999-10-29,0
A54,Structural reverse operations,1999-11-05,0
A54,Structural reverse operations,1999-11-12,0
A54,Structural reverse operations,1999-11-19,0
A54,Structural reverse operations,1999-11-26,0
A54,Structural reverse operations,1999-12-03,0
A54,Structural reverse operations,1999-12-10,0
A54,Structural reverse operations,1999-12-17,0
A54,Structural reverse operations,1999-12-24,0
A54,Structural reverse operations,1999-12-31,0
A54,Structural reverse operations,2000-09-15,0
A54,Structural reverse operations,2000-09-22,0
A54,Structural reverse operations,2000-09-29,0
A54,Structural reverse operations,2000-10-06,0
A54,Structural reverse operations,2000-10-13,0
A54,Structural reverse operations,2000-10-20,0
A54,Structural reverse operations,2000-10-27,0
A54,Structural reverse operations,2000-11-03,0
A54,Structural reverse operations,2000-11-10,0
A54,Structural reverse operations,2000-11-17,0
A54,Structural reverse operations,2000-11-24,0
A54,Structural reverse operations,2000-12-01,0
A54,Structural reverse operations,2000-12-08,0
A54,Structural reverse operations,2000-12-15,0
A54,Structural reverse operations,1999-04-16,0
A54,Structural reverse operations,1999-04-23,0
A54,Structural reverse operations,1999-04-30,0
A54,Structural reverse operations,1999-05-07,0
A54,Structural reverse operations,1999-05-14,0
A54,Structural reverse operations,1999-05-21,0
A54,Structural reverse operations,1999-05-28,0
A54,Structural reverse operations,1999-06-04,0
A54,Structural reverse operations,1999-06-11,0
A54,Structural reverse operations,1999-06-18,0
A54,Structural reverse operations,1999-06-25,0
A54,Structural reverse operations,1999-07-02,0
A54,Structural reverse operations,1999-07-09,0
A54,Structural reverse operations,1999-07-16,0
A54,Structural reverse operations,1999-07-23,0
A54,Structural reverse operations,1999-07-30,0
A54,Structural reverse operations,1999-08-06,0
A54,Structural reverse operations,1999-08-13,0
A54,Structural reverse operations,1999-08-20,0
A54,Structural reverse operations,2000-05-12,0
A54,Structural reverse operations,2000-05-19,0
A54,Structural reverse operations,2000-05-26,0
A54,Structural reverse operations,2000-06-02,0
A54,Structural reverse operations,2000-06-09,0
A54,Structural reverse operations,2000-06-16,0
A54,Structural reverse operations,2000-06-23,0
A54,Structural reverse operations,2000-06-30,0
A54,Structural reverse operations,2000-07-07,0
A54,Structural reverse operations,2000-07-14,0
A54,Structural reverse operations,2000-07-21,0
A54,Structural reverse operations,2000-07-28,0
A54,Structural reverse operations,2000-08-04,0
A54,Structural reverse operations,2000-08-11,0
A54,Structural reverse operations,1999-01-01,0
A54,Structural reverse operations,1999-01-08,0
A54,Structural reverse operations,1999-01-15,0
A54,Structural reverse operations,1999-01-22,0
A54,Structural reverse operations,1999-01-29,0
A54,Structural reverse operations,1999-02-05,0
A54,Structural reverse operations,1999-02-12,0
A54,Structural reverse operations,1999-02-19,0
A54,Structural reverse operations,1999-02-26,0
A54,Structural reverse operations,2000-12-22,0
A54,Structural reverse operations,2000-12-29,0
A54,Structural reverse operations,2001-01-05,0
A54,Structural reverse operations,2001-01-12,0
A54,Structural reverse operations,2001-01-19,0
A54,Structural reverse operations,2001-01-26,0
A54,Structural reverse operations,2001-02-02,0
A54,Structural reverse operations,2001-02-09,0
A54,Structural reverse operations,2001-02-16,0
A54,Structural reverse operations,2001-02-23,0
A54,Structural reverse operations,2001-03-02,0
A54,Structural reverse operations,2001-03-09,0
A54,Structural reverse operations,2001-03-16,0
A54,Structural reverse operations,2001-03-23,0
A54,Structural reverse operations,2001-03-30,0
A54,Structural reverse operations,2001-04-06,0
A54,Structural reverse operations,2001-04-13,0
A54,Structural reverse operations,2001-04-20,0
A54,Structural reverse operations,2001-04-27,0
A54,Structural reverse operations,2001-05-04,72999
A54,Structural reverse operations,2001-05-11,0
A54,Structural reverse operations,2001-05-18,0
A54,Structural reverse operations,2001-05-25,0
A54,Structural reverse operations,2002-02-15,0
A54,Structural reverse operations,2002-02-22,0
A54,Structural reverse operations,2002-03-01,0
A54,Structural reverse operations,2002-03-08,0
A54,Structural reverse operations,2002-03-15,0
A54,Structural reverse operations,2002-03-22,0
A54,Structural reverse operations,2002-03-29,0
A54,Structural reverse operations,2002-04-05,0
A54,Structural reverse operations,2002-04-12,0
A54,Structural reverse operations,2002-04-19,0
A54,Structural reverse operations,2002-04-26,0
A54,Structural reverse operations,2002-05-03,0
A54,Structural reverse operations,2002-05-10,0
A54,Structural reverse operations,2002-05-17,0
A54,Structural reverse operations,2002-05-24,0
A54,Structural reverse operations,2002-05-31,0
A54,Structural reverse operations,2002-06-07,0
A54,Structural reverse operations,2002-06-14,0
A54,Structural reverse operations,2002-06-21,0
A54,Structural reverse operations,2003-03-14,0
A54,Structural reverse operations,2003-03-21,0
A54,Structural reverse operations,2003-03-28,0
A54,Structural reverse operations,2003-04-04,0
A54,Structural reverse operations,2003-04-11,0
A54,Structural reverse operations,2003-04-18,0
A54,Structural reverse operations,2003-04-25,0
A54,Structural reverse operations,2003-05-02,0
A54,Structural reverse operations,2003-05-09,0
A54,Structural reverse operations,2003-05-16,0
A54,Structural reverse operations,2003-05-23,0
A54,Structural reverse operations,2003-05-30,0
A54,Structural reverse operations,2003-06-06,0
A54,Structural reverse operations,2003-06-13,0
A54,Structural reverse operations,2003-06-20,0
A54,Structural reverse operations,2003-06-27,0
A54,Structural reverse operations,2003-07-04,0
A54,Structural reverse operations,2003-07-11,0
A54,Structural reverse operations,2004-04-02,0
A54,Structural reverse operations,2004-04-09,0
A54,Structural reverse operations,2004-04-16,0
A54,Structural reverse operations,2004-04-23,0
A54,Structural reverse operations,2004-04-30,0
A54,Structural reverse operations,2004-05-07,0
A54,Structural reverse operations,2004-05-14,0
A54,Structural reverse operations,2004-05-21,0
A54,Structural reverse operations,2004-05-28,0
A54,Structural reverse operations,2004-06-04,0
A54,Structural reverse operations,2004-06-11,0
A54,Structural reverse operations,2004-06-18,0
A54,Structural reverse operations,2004-06-25,0
A54,Structural reverse operations,2004-07-02,0
A54,Structural reverse operations,2004-07-09,0
A54,Structural reverse operations,2004-07-16,0
A54,Structural reverse operations,2004-07-23,0
A54,Structural reverse operations,2004-07-30,0
A54,Structural reverse operations,2005-04-22,0
A54,Structural reverse operations,2005-04-29,0
A54,Structural reverse operations,2005-05-06,0
A54,Structural reverse operations,2005-05-13,0
A54,Structural reverse operations,2005-05-20,0
A54,Structural reverse operations,2005-05-27,0
A54,Structural reverse operations,2005-06-03,0
A54,Structural reverse operations,2005-06-10,0
A54,Structural reverse operations,2005-06-17,0
A54,Structural reverse operations,2005-06-24,0
A54,Structural reverse operations,2005-07-01,0
A54,Structural reverse operations,2005-07-08,0
A54,Structural reverse operations,2005-07-15,0
A54,Structural reverse operations,2005-07-22,0
A54,Structural reverse operations,2005-07-29,0
A54,Structural reverse operations,2005-08-05,0
A54,Structural reverse operations,2005-08-12,0
A54,Structural reverse operations,2005-08-19,0
A54,Structural reverse operations,2005-08-26,0
A54,Structural reverse operations,2006-05-19,0
A54,Structural reverse operations,2006-05-26,0
A54,Structural reverse operations,2006-06-02,0
A54,Structural reverse operations,2006-06-09,0
A54,Structural reverse operations,2006-06-16,0
A54,Structural reverse operations,2006-06-23,0
A54,Structural reverse operations,2006-06-30,0
A54,Structural reverse operations,2006-07-07,0
A54,Structural reverse operations,2006-07-14,0
A54,Structural reverse operations,2006-07-21,0
A54,Structural reverse operations,2006-07-28,0
A54,Structural reverse operations,2006-08-04,0
A54,Structural reverse operations,2006-08-11,0
A54,Structural reverse operations,2006-08-18,0
A54,Structural reverse operations,2006-08-25,0
A54,Structural reverse operations,2006-09-01,0
A54,Structural reverse operations,2006-09-08,0
A54,Structural reverse operations,2006-09-15,0
A54,Structural reverse operations,2007-06-08,0
A54,Structural reverse operations,2007-06-15,0
A54,Structural reverse operations,2007-06-22,0
A54,Structural reverse operations,2007-06-29,0
A54,Structural reverse operations,2007-07-06,0
A54,Structural reverse operations,2007-07-13,0
A54,Structural reverse operations,2007-07-20,0
A54,Structural reverse operations,2007-07-27,0
A54,Structural reverse operations,2007-08-03,0
A54,Structural reverse operations,2007-08-10,0
A54,Structural reverse operations,2007-08-17,0
A54,Structural reverse operations,2007-08-24,0
